frame_idx,id,x,y
53,0,380.0,1254.5
54,0,377.5,1242.0
55,0,374.5,1226.0
56,0,372.0,1213.0
57,0,370.0,1203.0
58,0,367.5,1205.0
59,0,360.0,1179.5
60,0,358.5,1179.5
61,0,355.0,1176.0
62,0,350.0,1165.0
63,0,346.5,1153.5
64,0,341.0,1134.0
65,0,338.0,1133.5
66,0,336.5,1120.0
66,1,440.5,1115.0
67,0,333.5,1113.0
67,1,437.5,1107.0
68,0,332.0,1104.5
68,1,435.0,1091.0
69,0,328.5,1103.0
69,1,433.0,1093.5
70,0,328.0,1102.5
70,1,432.5,1091.0
71,0,326.0,1096.5
71,1,429.0,1086.5
72,0,322.5,1082.0
72,1,425.0,1077.0
73,0,318.5,1071.5
73,1,422.5,1063.0
74,0,315.0,1057.0
74,1,416.5,1046.5
75,0,313.0,1041.0
75,1,409.5,1024.5
76,0,312.5,1032.5
76,1,405.0,1012.5
77,0,311.0,1028.0
77,1,401.5,1006.0
78,0,309.0,1024.0
78,1,400.0,1002.0
79,0,306.5,1019.5
79,1,397.0,998.5
80,0,304.0,1013.0
80,1,393.0,994.5
81,0,302.0,1001.5
81,1,388.0,985.0
82,0,300.0,988.0
82,1,383.0,971.0
83,0,297.0,973.0
83,1,383.0,971.0
84,0,294.5,958.0
84,1,375.5,947.5
85,0,293.5,952.5
85,1,373.5,942.0
86,0,292.5,948.0
86,1,372.0,935.5
87,0,292.5,948.0
87,1,372.0,935.5
88,0,291.0,938.5
88,1,364.5,925.0
89,0,290.0,931.0
89,1,361.0,913.5
90,0,287.5,918.5
90,1,357.0,900.5
91,0,285.5,905.0
91,1,351.5,887.0
92,0,283.5,888.0
92,1,347.5,872.0
93,0,282.0,875.5
93,1,343.0,862.0
94,0,280.0,865.0
94,1,338.0,858.5
95,0,278.0,860.5
95,1,335.0,853.5
96,0,276.5,855.0
96,1,333.5,848.5
97,0,274.0,851.0
97,1,332.0,843.0
98,0,274.0,846.5
98,1,330.0,831.0
99,0,271.5,838.0
99,1,324.5,815.5
100,0,267.0,826.5
100,1,321.5,801.5
101,0,262.0,813.0
101,1,319.5,788.5
102,0,256.5,798.5
102,1,319.0,784.5
103,0,251.5,785.5
103,1,320.0,779.5
104,0,251.0,778.5
104,1,315.0,775.0
105,0,249.0,774.5
105,1,315.5,770.5
106,0,247.5,769.5
106,1,318.0,763.0
107,0,245.0,764.5
107,1,319.0,752.5
108,0,246.0,758.0
108,1,320.0,738.0
109,0,244.0,745.5
109,1,321.0,724.5
110,0,242.5,730.0
110,1,322.0,712.0
111,0,241.5,715.0
111,1,324.0,705.5
112,0,241.5,701.5
112,1,327.5,701.0
113,0,240.5,693.0
113,1,325.0,698.0
114,0,240.0,687.5
114,1,323.0,693.0
115,0,241.0,683.0
115,1,322.5,685.5
116,0,242.0,679.0
116,1,322.0,674.0
117,0,242.0,672.5
117,1,321.0,660.0
118,0,241.5,660.5
118,1,321.5,647.5
119,0,243.0,646.5
119,1,322.0,634.0
120,0,246.0,635.0
120,1,327.5,626.0
121,0,249.0,621.0
121,1,334.0,621.5
