frame_idx,id,x,y
2,0,436.0,646.0
3,0,436.5,646.5
4,0,437.0,645.5
5,0,437.5,644.5
6,0,437.0,642.5
7,0,437.0,641.5
8,0,437.0,642.5
9,0,437.0,642.5
10,0,437.5,641.5
11,0,437.5,640.5
12,0,437.0,640.5
13,0,437.0,639.5
2,0,436.0,646.0
3,0,436.5,646.5
4,0,437.0,645.5
5,0,437.5,644.5
6,0,437.0,642.5
7,0,437.0,641.5
8,0,437.0,642.5
9,0,437.0,642.5
10,0,437.5,641.5
11,0,437.5,640.5
12,0,437.0,640.5
13,0,437.0,639.5
14,0,437.0,639.5
15,0,437.5,639.5
16,0,437.5,639.5
17,0,437.0,639.0
18,0,437.0,639.0
19,0,437.0,639.5
20,0,437.0,639.5
21,0,438.0,640.0
22,0,439.0,640.5
23,0,437.5,641.0
24,0,439.0,641.5
25,0,438.5,643.0
26,0,438.0,643.0
27,0,437.0,643.5
28,0,438.5,645.5
29,0,440.5,646.0
30,0,437.5,647.0
31,0,436.0,647.0
32,0,434.5,647.0
33,0,434.0,647.0
34,0,434.5,647.0
35,0,435.0,647.5
36,0,436.0,647.5
37,0,437.0,647.5
38,0,436.5,647.5
39,0,435.5,646.5
40,0,437.5,647.0
41,0,441.5,647.0
42,0,440.5,646.5
43,0,440.5,646.5
44,0,437.0,646.0
45,0,436.5,645.0
45,1,411.5,156.5
46,0,435.5,644.5
46,1,412.0,156.5
47,0,436.0,642.5
47,1,412.0,157.0
48,0,436.5,641.5
48,1,411.0,156.0
49,0,436.0,640.5
49,1,410.0,155.5
50,0,436.0,641.0
50,1,409.0,155.5
51,0,437.0,641.5
51,1,409.0,156.0
52,0,437.5,641.0
52,1,409.0,159.5
53,0,437.5,641.0
53,1,410.0,161.5
54,0,437.0,640.0
54,1,408.5,157.5
55,0,437.5,640.5
55,1,408.5,157.5
56,0,438.0,640.5
56,1,408.5,161.5
57,0,438.0,640.0
57,1,407.5,158.5
58,0,438.0,640.0
58,1,407.0,157.5
59,0,438.0,640.0
59,1,407.5,158.0
60,0,438.0,640.0
60,1,407.0,157.0
61,0,438.0,641.0
61,1,406.5,156.0
62,0,438.5,641.5
62,1,407.5,157.5
63,0,438.5,641.0
63,1,406.5,157.0
64,0,438.0,642.0
64,1,406.5,155.0
65,0,437.5,643.0
65,1,406.5,155.0
66,0,438.5,643.5
66,1,406.5,158.0
67,0,439.5,644.0
67,1,406.5,158.0
68,0,442.0,645.0
68,1,406.5,158.0
69,0,438.5,645.0
69,1,407.5,151.5
70,0,436.0,646.5
70,1,407.5,151.5
71,0,436.5,647.0
71,1,405.5,156.5
72,0,436.0,647.0
72,1,406.5,159.5
73,0,435.0,647.5
73,1,406.5,158.0
74,0,434.0,647.5
74,1,407.0,156.0
75,0,434.5,647.5
75,1,408.5,157.5
76,0,434.5,647.5
76,1,407.0,154.5
77,0,433.5,647.5
77,1,408.0,156.5
78,0,434.5,648.5
78,1,408.0,156.5
79,0,435.0,648.5
79,1,409.0,151.0
80,0,434.5,648.0
80,1,406.0,158.0
81,0,434.5,647.5
81,1,406.0,158.0
82,0,434.5,647.0
82,1,406.0,158.0
83,0,435.0,647.0
83,1,406.0,158.0
84,0,434.0,646.0
84,1,406.0,158.0
85,0,434.0,646.0
85,1,406.0,158.0
86,0,434.5,646.0
87,0,436.0,645.5
88,0,436.0,646.0
89,0,438.0,645.0
90,0,438.0,644.5
91,0,439.0,643.5
92,0,437.0,642.5
93,0,437.5,643.0
94,0,437.5,643.0
95,0,437.0,642.0
96,0,438.0,642.0
97,0,439.0,641.5
98,0,438.0,641.0
99,0,439.0,641.0
100,0,438.5,641.0
101,0,439.0,640.5
102,0,438.5,640.5
103,0,439.0,640.5
104,0,438.5,640.5
105,0,438.5,641.0
106,0,438.0,641.5
107,0,438.0,641.5
108,0,437.5,642.0
109,0,437.5,642.0
110,0,437.5,643.0
111,0,437.5,644.0
112,0,438.0,644.0
112,2,521.5,178.5
113,0,436.5,644.5
113,2,522.0,179.0
114,0,437.0,645.5
114,2,519.5,186.5
115,0,435.0,646.5
115,2,518.5,192.5
116,0,435.5,647.0
116,2,518.0,199.0
117,0,436.0,647.0
117,2,518.0,199.0
118,0,435.0,648.0
118,2,518.0,199.0
119,0,434.5,647.5
119,2,518.0,199.0
120,0,434.0,648.0
120,2,518.0,199.0
121,0,433.5,647.5
121,2,518.0,199.0
122,0,434.0,647.5
123,0,434.5,648.0
124,0,434.5,647.5
125,0,435.0,647.5
126,0,434.5,647.5
127,0,434.5,646.5
128,0,435.5,647.0
129,0,436.0,647.0
130,0,435.0,646.0
131,0,435.5,646.0
132,0,436.5,646.0
133,0,437.0,645.0
134,0,436.0,644.5
135,0,436.5,644.0
136,0,436.0,643.0
137,0,436.0,643.5
138,0,436.0,643.0
139,0,436.5,643.0
140,0,436.0,642.0
141,0,436.5,642.5
141,3,518.5,269.0
142,0,436.0,642.0
142,3,520.0,278.5
143,0,436.0,642.0
143,3,519.5,280.5
143,4,447.0,258.5
144,0,435.5,643.0
144,3,521.0,284.5
144,4,446.5,260.0
145,0,436.0,643.0
145,3,521.0,285.5
145,4,447.5,266.5
146,0,436.0,643.0
146,3,522.0,289.5
146,4,446.5,271.5
147,0,436.0,643.5
147,3,522.5,290.5
147,4,446.0,274.5
148,0,435.5,643.0
148,3,523.0,292.0
148,4,445.5,279.0
149,0,435.5,644.0
149,3,524.5,294.0
149,4,445.0,283.5
150,0,436.0,643.5
150,3,525.0,296.0
150,4,445.0,286.5
151,0,435.5,643.0
151,3,524.5,297.5
151,4,445.0,288.0
152,0,436.0,643.0
152,3,523.5,299.5
152,4,446.5,290.0
153,0,435.0,643.5
153,3,522.0,303.5
153,4,447.5,292.5
154,0,434.5,644.5
154,3,521.5,312.0
154,4,448.5,294.0
154,5,418.0,135.0
155,0,435.0,645.0
155,3,523.5,317.0
155,4,449.5,295.0
155,5,418.0,135.5
156,0,434.5,645.0
156,3,522.5,318.5
156,4,450.5,296.5
156,5,418.5,135.5
157,0,434.5,646.0
157,3,524.0,320.5
157,4,451.5,297.5
157,5,419.0,136.0
158,0,434.5,646.0
158,3,523.5,321.5
158,4,452.0,300.0
158,5,419.0,136.0
159,0,436.5,647.0
159,3,522.5,323.0
159,4,452.5,309.5
159,5,419.0,136.0
160,0,435.5,647.0
160,3,521.5,324.0
160,4,453.0,316.0
160,5,419.0,136.0
161,0,434.5,647.0
161,3,521.0,325.0
161,4,452.0,321.0
161,5,418.5,137.0
162,0,434.0,647.5
162,3,520.0,326.0
162,4,451.5,323.5
162,5,419.0,136.5
163,0,434.0,647.0
163,3,520.0,327.5
163,4,450.5,325.5
163,5,419.5,136.0
164,0,436.5,647.0
164,3,520.0,335.0
164,4,448.5,326.5
164,5,419.0,136.0
165,0,435.0,646.5
